esp	nah
boquilla	akamapichtli
puntero	akamapili
desembocar	akamati
desembocadura	akamatl
acamaya	akamayatl
atrevido	akanixmauki
faltante	akanoyeui
semejante	akantetlaneui
laurel	akapatli
acapulqueño	akapolkatl
exitado	akatkani
cañaveral	akatlan
zampoña	akatlapitsali
pegamento	akatsakuistli
inicialmente	akattopa
gigantón	akauali
baldío	akaualko
maleza	akauatl
alberca	akaxitl
balneario	akaxotlan
pilar	akaxtontli
nadie	akayak
pipa	akayetl
acayucan	akayokan
inocencia	akentenchiuayotl
travesura	akentlattalistli
travieso	akentlattani
necedad	akimamatkayotl
quién	akin
natación	akisalistli
nadador	akisani
velatorio	akochilistli
faltar	akocholoa
mansión	akokali
progresar	akokitsa
progreso	akokitsalistli
alzado	akokitskili
lirio	akokoko
levantar	akokui
antebrazo	akolmaitl
brazo	akolmaitl
alborotar	akomana
alboroto	akomanalistli
alborotador	akomanani
tinaja	akomitl
arriba	akopa
sobre	akopan
mesa	akopechtli
acordeón	akordioni
acocil	akosili
acocil	akosilin
crema	akostik
consolación	akotlasalistli
confortar	akouetsi
confortable	akouetsiki
aliento	akouetsilistli
contemplación	akoueuetilistli
alzar	akoui
despegado	akouili
contemplación	akoyalistli
contemplativo	akoyani
drenaje	akoyoktli
hundimiento	aktitlasatilistli
mal	akuali
maldición	akualitilistli
malicia	akualotl
grosería	akualtlajtoli
elevador	akuanuastli
ruda	akuatsin
ignorante	akuayolo
sanguijuela	akuekueyachin
acantilado	akueskomatl
ola	akueyotl
araucaria	akxoyaokotl
flema	alachin
resbaloso	alaktik
alaska	alaskak
alaskeño	alastekatl
resbalar	alaua
resbaladizo	alauak
junto	alauakatl
liso	alaxtik
albanés	albanekatl
albania	albania
albanés	albaniatl
aleluya	aleluya
argelia	algeria
argelino	algerianekatl
argelino	algeriatl
papagayos	alomej
escroto	aloyotl
villa	altepemaitl
ciudades	altepemej
terreno	altepemili
parcela	altepemilpan
avenida	altepeojtli
procurador	altepepaleuini
alcaldesa	altepesiuatlajtoani
almena	altepetenankoyoktli
ciudad	altepetl
alcalde	altepetlajtoani
municipio	altepetlajtokayotl
paisano	altepetlakak
ciudadano	altepetlakatl
civilización	altepetlakayotl
poblar	altepetlalia
urbanista	altepetlaniani
distrito	altepetlatilantok
distritos	altepetlatilantoke
confederado	altepetlatskoni
rata	altepetusan
urbanidad	altepeyotl
distrito	alteptlatilantok
confederación	alteptlatskostli
bañar	altia
bañado	altik
baño	altikali
baños	altikaltin
boya	amachiotl
estero	amaitl
mora	amakapolin
tildío	amakostitototl
amate	amakuauitl
cartero	amakuiloni
escritor	amamachioni
libreta	amamachiotl
taladro	amamalokotl
papeles	amamej
discurso	amamekatl
distraerse	amana
presa	amanali
papelería	amanamakoyan
charco	amanatli
artesano	amantekatl
tecnología	amantekayotl
artesanal	amantoli
plano	amaometlakuiloli
naipe	amapatoli
ababol	amapotl
ignorante	amatki
analfabetizmo	amatkiyotl
papel	amatl
correo	amatlakuilistli
escribano	amatlakuilo
secretaría	amatlakuilokan
epístola	amatlakuilolanetilistli
carta	amatlakuiloli
remitente	amatlakuilolmachioli
correo	amatlakuiloloyan
graficador	amatlakuilopoalkali
ficha	amatlakuilotontli
cartero	amatlakuilotsakuani
carpeta	amatlatsontli
mapa	amatojtli
billete	amatomin
documento	amatsin
encuadernar	amatsoma
encuadernado	amatsomalili
delta	amaxak
zarzamora	amaxokotl
antifaz	amayakatl
vos	amej-
manguera	amekatl
pozo	ameli
amén	amen
ustedes	ameuan-
ustedes	ameuantin
pesado	ameuatik
usted	ameuatl
fuente	ameyali
cazar	ami
inmoralidad	amikilistli
inmortal	amikini
sed	amikistli
ahogado	amikkatl
laguna	amiktlan
cacería	amilistli
inmortalidad	amilkilisyotl
inmortal	amilkini
tosco	amimatik
dardo	amimitl
cazador	amini
nada	amitla
millonario	amiximatini
desconocido	amixmachtli
ovni	amixmachuastli
confundir	amixmati
confundido	amixmatili
confusión	amixmatilistli
vuestro	amo-
no	amo
irresistible	amoixnauamikilistli
abolir	amoixnauatia
abolición	amoixnauatilistli
abolidor	amoixnauatini
ausente	amoixpani
miope	amoixtlapaltik
impúdico	amoketsak
antiguamente	amokinkantin
desagradecido	amoknelilmatini
necio	amokotontlani
malo	amokuali
feo	amokualnesi
shampoo	amolayotl
jabón	amoli
negación	amolistli
jabonera	amolkaxitl
negar	amomikmana
andariego	amomotlaliani
inquilino	amomotokilismak
diferir	amonamiki
discrepancia	amonamiktli
imprudente	amonauatilmak
odioso	amonauatilmatini
dudosamente	amoneltika
diferencia	amoneneukayotl
diferenciar	amoneneuki
diferente	amoneuki
callar	amonimanauati
inconforme	amoninokaki
tampoco	amono
deprimido	amonotsalani
barato	amopatik
verdugo	amopiluani
sino	amosan
osado	amosaneli
caritativo	amosaneltsoyani
caridad	amosaneltsoyotl
virtuoso	amosankenani
paradigma	amosayotl
ateo	amoteoni
despreciado	amotlaixtilili
bajo	amotlakpak
ostinado	amotlakuauak
infinito	amotlamini
cobarde	amotlapaltik
incoloro	amotlapaltik
gratis	amotlasotli
desatento	amotlatini
desatención	amotlattilistli
manso	amotlaueli
nada	amotlein
vuestro	amouan
imposible	amoueli
librería	amoxatli
capítulo	amoxexelistli
literato	amoxikuilo
bibliotecario	amoxiutlatiani
librero	amoxkali
alfabeta	amoxmatki
lector	amoxpouani
margen	amoxtentli
libros	amoxtin
prólogo	amoxtlajtoalpeualistli
glosario	amoxtlajtoli
índice	amoxtlajtoltsintli
literatura	amoxtlajtoyotl
biblioteca	amoxtlatiloyan
libro	amoxtli
librería	amoxtlikoyan
tomar	ana
marginado	anak
aislado	anakmosatlani
allende	anali
allende	analko
gitano	andaloxtekatl
adios	anej
superfluo	anekilistli
vanidad	anekiloyotl
escasear	anekotona
escasez	anekotonalistli
necesidad	anematilistli
disimulado	anemokaknekili
disimular	anemokkakneki
disimulo	anemokkanekilistli
disimulador	anemokkanekini
bahía	anepalko
depravado	anetlakualtilili
depravación	anetlakualtilistli
ellos	aneuan-
ellos	aneuantin
útil	aneuatsi
inglés	anglitekatl
inglés	anglitl
inglaterra	anglitlalpan
anglicano	anglitlaltekatl
traer	anilitia
tacaño	aninokotontlani
descarar	aninomamati
descarado	aninomamatini
transportar	aniuaya
diariamente	ankimo
ámsterdam	ansterdania
ángel	anxeli
ángel	anxelin
apenas	aokaya
miedoso	aokichyolo
miedoso	aokkichyolo
pulque	aoktli
insoportable	aokueli
pendejo	aompaneuak
pendejada	aompaneualistli
desgraciado	aompaneui
desgracia	aompayotl
inconveniente	aontenekini
ociosidad	aotlakanamiyotl
seguro	aoui
arroyo	apachakatl
diluvio	apachioualistli
apache	apachtli
saltar	apancholoa
saltador	apancholoani
salto	apancholoanilistli
marino	apankayotl
dique	apantlakuiuayan
acequia	apantli
apapachar	apapachoa
cazuela	apastetl
tina	apastlapaloni
coladera	apastli
barato	apatiuki
entelerido	apichauki
desvergonzar	apinaua
desvergonzado	apinauali
vergüenza	apinaualistli
mosquete	apipiloluastli
libélula	apipiyalotl
inanición	apismiki
cámara	apitsali
diarrea	apitsatli
hambriento	apitsmikini
hambruna	apitsmikistli
gula	apitsolistli
vapor	apojtli
wc	apolanko
wc	apolankoyan
geiser	apopokatl
ámbar	aposonali
espuma	apotsonakilotl
nata	apotsonali
espuma	apotsontli
enlamar	apoxkauki
apóstol	apoxtoli
aragonés	aragonekatl
aragonés	aragoni
aragón	aragonia
aruba	aroba
tlaquixtilli	arrankado
asenso	asauyatl
quizá	asej
espulgar	aselana
liendre	aseli
liendre	aselin
liendroso	aseloni
desagradable	asemeli
azerbaiyano	aserbaiyanekatl
azerbaijano	aserbaiyatl
azerbaiyán	aserbayania
iceberg	asesekpan
frutilla	asesexokotl
aguanieve	asetl
comprender	asikamati
comprendido	asikamatili
localizado	asiki
localizar	asiki
arrebatar	asitiuetsi
alcance	asitl
aljófar	asitlali
aljófar	asitlalin
sirena	asiuamichtli
escamoles	askamoli
hormiguero	askapotsali
hormiguero	askaxali
casi	aski
alas	asmej
probablemente	aso
calma	asomali
experiencia	asomaluauetl
blancura	astapiltik
aspa	astektli
alado	astitok
ala	astli
ausente	atak
atreverse	ateixkoa
atrevimiento	ateixkotlachialistli
atrevido	ateixkotlachiani
desobediente	atekakini
molesto	atekauki
alberca	atekaxmatemaloyan
aljibe	atekochtlali
aljibes	atekochtlaltin
jaguëy	atekochtli
presa	atekochtsakuali
hidropesía	atemalistli
empiojar	atemi
cascada	atemoktli
cascada	atemostli
enfrentar	atemouia
piojoso	atempachtli
súbitamente	atenamachpan
tejado	atenamitl
atenas	atenia
lago	ateskatl
bravo	atetechasini
desobediencia	atetlakamatilistli
desobediente	atetlakamatini
almeja	atexakatl
derretirse	atia
esfumado	atik
derretir	atilia
rellenar	atipochoa
metáfora	atiuatsolistli
encomendar	atiuitsoa
encomienda	atiuitsouilistli
mollera	atla
marisco	atlachaneki
parlanchín	atlajtoalamini
incorregible	atlakaki
bruto	atlakamachtili
travesura	atlakanemilistli
travieso	atlakanemini
disolución	atlakaneminilistli
cruel	atlakanesi
revoltoso	atlakasemeli
gratis	atlakasoyotl
descortés	atlakatlajtoak
descortesía	atlakatlajtolistli
inhumanamente	atlakayotika
crueldad	atlakayotl
barranca	atlakomoli
ninfa	atlakuisiuatl
aljibe	atlalili
hidrosfera	atlalistli
presunto	atlamati
presunción	atlamatilistli
ahogar	atlamiki
ahogado	atlamikini
canotaje	atlanetlaminalistli
puro	atlaneyolo
gotero	atlanteittani
atlante	atlantekatl
atlantida	atlantiko
ala	atlapali
agonizar	atlasa
vil	atlasotli
lanzadardos	atlatl
perseguido	atlatlamachtili
ahogarse	atlaua
aburrido	atlauinani
cañón	atlautli
quebrada	atlauxomoli
nada	atle
inservible	atleinakkak
solitario	atleinemik
avaricia	atlekikaualistli
codicioso	atlekixkauak
rebajar	atlelitia
rebaja	atlelitilistli
suicidio	atletilistli
aguardiente	atletl
desdichado	atleueli
indiscreto	atleuelitik
haragán	atleyeni
bebedor	atlini
vaso	atliuani
atolero	atolchiuki
atole	atoli
pelón	atomiyo
fiebre	atonauilistli
asoleado	atonauki
gaviota	atototl
trucha	atoyamichin
rivera	atoyatentli
río	atoyatl
riachuelo	atoyatontli
compuerta	atsakuali
presa	atsakuali
pera	atsapotl
estanque	atskaualo
pilote	atsontsontli
y	au
reñir	aua
rociar	auachia
rocío	auachtli
guacamole	auakamoli
aguacates	auakatin
aguacate	auakatli
acuario	auakoyan
perfume	aualistli
bellota	auatomatl
agotamiento	auatsalistli
agotar	auatsi
carrasco	auauatl
aguautle	auautli
drupa	auaxokotl
amordazado	auelatoani
refinería	auelnemilistli
ahuehuete	aueuetl
nivel	aueyak
fragante	auiak
desodorante	auiakatl
canela	auiakpopotli
perfumar	auialia
burdel	auiankali
turista	auikyani
turismo	auikyanilistli
vagabundo	auikyauki
turistear	auikyayoa
turista	auikyayoani
turismo	auikyayotl
presumido	auilatoani
alegría	auilistli
prodigo	auilkixtiani
sexo	auilnelistli
fornicar	auilnemi
lujurioso	auilnemiki
vicioso	auilnemini
vicio	auilneminilistli
sexual	auilneyo
sexualidad	auilneyotl
masturbar	auiltepolia
masturbación	auiltepolistli
deportivo	auiltikayok
deporte	auiltikayotl
juguetones	auiltsonkuitlamej
juguetón	auiltsonkuitlatl
lujuria	auineminilistli
desodorante	auitili
juguete	auitsonxoloni
aromatico	auiyak
aromático	auiyo
teibolera	auyani
burdel	auyankali
aluvión	axachtli
ahora	axan
delta	axeloli
asia	axia
asiático	axiatekatl
asiático	axiatl
apuntado	axiltili
maquillaje	axin
acercar	axitia
acercamiento	axitialistli
hotel	axiuayan
hotelero	axiuayani
sanitario	axixkali
muladar	axixpan
orina	axixtli
posesión	axkaitl
luego	axkampa
hoy	axkan
presente	axkanilistli
actualmente	axkanistika
actualmente	axkantika
adueñar	axkatia
dueño	axkatiani
dueños	axkatianimej
hacienda	axkatl
abundar	axkauia
abundancia	axkauilistli
dominio	axkayotl
burra	axnosiuatl
burro	axnotl
rebuznar	axnotsatsi
rebuznido	axnotsatsilistli
salamandra	axolokuetspalin
bagre	axolomichin
ajolote	axolotl
estuario	axomoli
asturias	axturia
asturiano	axturiatekatl
asturiano	axturiatl
nadie	ayak
sonaja	ayakachtli
temprano	ayakuael
norte	ayamiktlan
norteño	ayamiktlani
crudo	ayamotlakxotili
ayuno	ayatlekikuak
lentamente	ayaxkanyotika
desquebrajar	ayayanoa
pensar	ayekilua
pensamiento	ayekimatilistli
pensador	ayekimatini
todavía	ayemo
agachar	ayeutiuetsi
hacer	ayi
cambiado	ayok
desaparición	ayokakatsintli
caparazón	ayokalotl
imprudente	ayolomatki
pozo	ayoluastli
aguamiel	ayonekutli
calabaza	ayotli
armadillos	ayotochtin
armadillo	ayotochtli
archipiélago	ayoualtlaltin
fácil	ayoui
facilitar	ayouika
fácilmente	ayouika
facilidad	ayouilistli
fácilmente	ayouitika
jugoso	ayoyo
desacierto	ayukayotl
bi	b
bahamas	bajamaj
barbados	barbadiaj
barcelona	barselona
belarus	belarruxia
belgica	belxika
belga	belxikatl
belga	belxitekatl
bermudas	bermudiaj
botswano	botsuantekatl
brasil	brasilia
brasileño	brasiliatl
brasileño	brasiltekatl
bruselas	bruxelia
buda	budateotl
birmania	burmia
birmano	burmianekatl
birmano	burmiatl
burundi	burundia
butanés	butanekatl
bután	butania
butanés	butaniatl
chi	ch
vocerío	chachaiakistli
chachalaca	chachajalakatototl
áspero	chachakuak
hablador	chachalakani
chachalaca	chachalakatl
chachalaca	chachalakatototl
destartalar	chachalaktia
destartalado	chachalaktik
destartalador	chachalaktli
murmurador	chachalani
jactarse	chachamaua
jactado	chachamautli
chad	chadia
camarón	chakali
agusanarse	chakaliui
calloso	chakayoli
gladiatorio	chakmoli
destemplado	chalani
esmeralda	chalchiuitl
joyería	chalchiukali
chalchicomula	chalchiukomolan
joyero	chalchiuximatki
ciénaga	chalkani
chalca	chalkatl
xalco	chalko
chamaco	chamako
chamagoso	chamaokosok
engordar	chamaua
crecido	chamauak
desaliñado	chancho
casero	chanej
salvaje	chanek
cheneque	chaneki
departamento	chankali
vivir	chanti
vivir	chantia
casas	chantin
familia	chantlakauan
granja	chantlalkali
condominio	chantlayokan
casa	chantli
desprender	chapani
empapado	chapankini
saltamontes	chapoli
chapulín	chapolin
chabacano	chauakatl
albaricoque	chauakuauitl
celos	chauastin
celar	chauatilia
celoso	chauatl
chihuahuense	chauauani
plaga	chauitstli
chayote	chayotli
ingeniar	chialia
azucarar	chiankaka
mazapán	chiankakatetl
azúcar	chiankakatl
azucarado	chiankakayo
diesel	chiantletl
chiapaneco	chiapanekatl
chiapaneco	chiapatl
carretera	chiapopojtli
chapopote	chiapopotl
petrolero	chiapopotlani
chía	chiatl
grasoso	chiauik
aceite	chiauikayotl
grasa	chiauisotl
oruga	chiauitl
aceite	chiauitli
escupidor	chichani
alhaja	chichetl
perro	chichi
amargo	chichik
hiel	chichikatl
mancha	chichikaui
descarado	chichiki
grito	chichikitsatsilistli
disparejo	chichikok
bisabuelo	chichikoli
amargoso	chichiktik
chichicuilote	chichikuilotl
bisabuela	chichilamatl
enrojecido	chichiliuili
rojo	chichiltik
petirrojo	chichiltototl
perros	chichimej
chichimecas	chichimekaj
chichimeca	chichimekatl
dolor	chichinakatl
doloroso	chichinaktik
afligido	chichinatsali
mamador	chichini
mamado	chichinik
mamón	chichininpoli
chupador	chichinki
quemar	chichinoa
quemado	chichinoli
incendio	chichinolistli
bello	chichipaltik
destilar	chichipina
destilado	chichipinili
destilación	chichipinilistli
amamantar	chichiti
amamantado	chichitili
rabioso	chichitlauelilo
rabia	chichitlauelilokayotl
mancha	chichitli
seno	chichiuali
ladrerío	chichiuauake
mamila	chichiuayoli
arremedar	chichiuia
arremedado	chichiuili
arremedo	chichiuilistli
perruno	chichiyotl
abrojo	chikalotl
duro	chikauak
fortaleza	chikaualistli
dureza	chikaukayotl
fuerza	chikautilistli
fuerte	chikautok
ruiseñor	chikimolin
chico	chikitl
chiquito	chikiton
chiquitín	chikitsin
canasta	chikiuitl
básquetbol	chikiutapayolistli
inframundo	chiknaumiktlan
cielo	chiknautopan
junto	chiko
siete	chikome
domingo	chikomeiluitl
sospecha	chikotlamanilistli
celoso	chikotlamatini
sospechar	chikoyoloa
sospechoso	chikoyoloani
sospecha	chikoyotl
chicle	chiktli
callado	chikuakoli
seis	chikuase
sábado	chikuaseiluitl
chilaca	chilakatl
chilaquil	chilakili
chilaquil	chilakilitl
chileno	chilantekatl
chilate	chilatl
chile-atole	chilatoli
chile	chili
rábano	chilkamojtli
salsera	chilkaxitl
salsa	chilmamoli
chilmole	chilmoli
rojo	chiltik
calandria	chiltototl
especia	chilxiuitl
escudo	chimali
escudarse	chimalkaltia
escudero	chimalki
chisme	chimiskoli
chismorrear	chimiskouia
chismoso	chimiskouik
chinampa	chinamilpan
cerco	chinamitl
deshorden	chinkatl
chingar	chinkua
chingadera	chinkualaktli
jodido	chinkuali
alergico	chinkualnematini
urticaria	chinkualsauatl
reluciente	chipakkaltik
castidad	chipauakanelistli
pureza	chipauayotl
herir	chipeliueskixtia
herida	chipeliui
chipriota	chiprianekatl
chipriota	chipriatl
dolor	chisiuinakilistli
chicloso	chitik
forma	chiualistli
culto	chiualtlakatl
cultura	chiualtlakayotl
verbo	chiuatlajtoli
ladrido	chiuaualistli
chihuahuense	chiuauani
chihuahuense	chiuauatekatl
chihuahuense	chiuauatl
llanto	chokakilistli
llanto	chokalistli
bramido	chokiktli
llanto	chokilistli
chillido	chokistli
huir	choloa
corrido	chololi
despeñado	cholololi
cholulteca	chololtekatl
extranjero	chontali
xenofobia	chontalmamatilistli
xenofóbico	chontalmamatli
teatro	chukan
di	d
dinamarca	dania
danés	daniatekatl
danés	daniatl
dedal	dekaxitl
diciembre	disiembri
diskette	dixketl
domingo	domingo
dominca	dominika
dominicano	dominikatl
dominicano	dominitekatl
e	e
contraviento	ejekaixnamikilistli
tempestad	ejekakiauitl
tromba	ejekakoamixtli
atmósfera	ejekalistli
aeropuerto	ejekalkixoayan
remolino	ejekamalakatl
aires	ejekamej
huracán	ejekanamiktilistli
paracaidista	ejekatemoani
viento	ejekatl
aérodeslizador	ejekatlapalki
aventador	ejekatsakauiloni
rompeviento	ejekatsakuili
apolillarse	ejemi
gárgola	ekakoyoktli
soya	ekatl
anorak	ekatsakuili
escala	ekauastik
proporción	ekauastilistli
protector	ekauyo
concha	ektli
nácar	ekyolotli
agruras	elchichinatl
convencer	eleki
convencerse	elekia
convencido	elekili
convencidos	elekiltin
convencimiento	elekitl
pena	eleli
marfil	elepanomitl
desear	eleuia
hígado	eli
deseoso	eliutili
deseo	eliutilistli
deseoso	eliutistik
hepatitis	elkokolistli
espalda	elkomali
elote	elotl
magnolia	eloxochitl
calvario	elpanchichiko
pecho	elpantli
suspirar	elsisiui
suspiro	elsisiuilistli
hígado	eltapachtli
tartamudo	eltsatsaki
tartamudo	eltsatsakini
tartamudear	eltsatsakui
papada	eltsotsoli
alma	eluayotl
frijoles	emej
enero	enero
aljófar	epyolopisili
carnal	esisiutli
vena	eskoktli
eslovaquia	eslovakia
esloveno	eslovenekatl
eslovenia	eslovenia
esloveno	esloveniatl
morcilla	esnakakuitlaxkotli
sangrar	eso
sangrado	esoli
sangría	esolistli
sangradera	esoloni
sangrador	esoltesoni
sangriento	esoni
ágata	estekpatl
tuberculoso	estlatlaxtini
sangre	estli
estocolmo	estokolmo
estonio	estonekatl
estonia	estonia
estonio	estoniatl
granado	esxokokuauitl
granada	esxokotl
pesado	etik
fríjol	etl
frijolar	etlan
habichuela	etontli
agitar	etsona
agitador	etsonki
agitación	etsontilistli
agitado	etsontli
partir	eua
pergamino	euamatl
correa	euamekatl
cinturón	euanelpiloli
maleta	euapetlakali
talabartería	euapitskali
cuero	euatl
cazadora	euatlamamali
gaitero	euatlapitsalnemini
pandero	euaueuetl
alforja	euaxikipili
escamado	euayotlastli
euro	euro
chícharo	exotl
habichuela	exotontli
anteantier	eyopan
fi	f
febrero	febrero
finlandia	filandia
finlandés	filantekatl
finlandés	filatl
gi	g
gabonés	gabonekatl
gabonés	gaboniatl
francés	galitekatl
francés	galitl
gallego	galixiatl
gallego	galixitekatl
ghana	gania
guelaquetza	gelagetsa
gelatina	gelatinatl
granadino	granadatl
granada	granadia
granadino	granatekatl
infierno	ichantletl
mameluco	ichkakonetilmali
cordero	ichkakonetl
ovejas	ichkamej
playera	ichkanemastli
pastorear	ichkapia
pastoril	ichkapixkayotl
pastor	ichkapixki
estopa	ichkasoli
chamarra	ichkatlamamali
borra	ichkatlapopoloak
lana	ichkatsomitl
dama	ichpochsiuatl
doncellas	ichpochtin
donsella	ichpochtli
virginidad	ichpochyotl
damita	ichpokakonetl
vaporoso	ichpotikayotl
confidencial	ichtakayo
secreto	ichtakayotl
robar	ichteki
ladrones	ichtekke
ladrón	ichtekki
secretario	ichtlakatlajtopiani
análisis	ijitlakolistli
respirar	ijiyotia
soportar	ijiyouia
soportado	ijiyouili
soporte	ijiyouilistli
así	ijkin
así	ijkon
aportado	ijkuaili
aportar	ijkuailia
cuando	ijkuak
escribir	ijkuiloa
escrito	ijkuilotik
descompuesto	ijtlako
descomponer	ijtlakoa
decir	ijtoa
aliento	ijyotl
por	ik
con	ika
consonante	ikakakistli
occidente	ikalakian
occidental	ikalakiani
occidental	ikalakini
pelear	ikalia
atrás	ikampa
como	ikan
erecto	ikatok
bastantes	ikimej
oriente	ikisayan
oriental	ikisayo
tejido	ikitilistli
telar	ikitiualoyan
tela	ikitiuatli
ayudar	iknelia
atuda	iknelilistli
caridad	ikneliyotl
hermano	iknitl
amiguito	ikniupili
amiguitos	ikniupipil
amigable	ikniutiloni
amigo	ikniutli
revolución	ikniuyaoyotl
amistoso	ikniuyo
piedad	iknoakayotl
miserable	iknoli
comprender	iknomati
comprensión	iknomatilistli
comprensivo	iknomatki
mendigar	iknopiluia
pobre	iknotl
pobres	iknotlakamej
mendigo	iknotlakatl
indigencia	iknotlakayotl
desamparado	iknouak
desamparo	iknouatl
miseria	iknoyotl
roncar	ikotoka
ronquido	ikotokilistli
silla	ikpali
contener	ikpia
índice	ikpialitoamoxtli
contenido	ikpialitok
lámpara	ikpikaxitl
foco	ikpiloli
semáforo	ikpimachiotl
eléctricidad	ikpitikayotl
eléctricista	ikpiuki
izote	iksotl
eclipse	ikualotl
talón	ikxitl
devanar	ilakatsoa
devanado	ilakatstik
solitaria	ilamaokuili
solitaria	ilamaokuilin
viejota	ilamapoli
vieja	ilamatl
viejilla	ilamatontli
viejita	ilamatsin
viejecita	ilamatsintli
aguardiente	ilistli
abedul	ilitl
olvidar	ilkaua
extrañado	ilnamikili
abreviar	ilochtia
amarrar	ilpia
amarrado	ilpitok
ovni	iluikalpatlani
telescopio	iluikamachioli
astronauta	iluikanemini
astrología	iluikatlamatilistli
astrólogo	iluikatlamatini
astro	iluikatlamatli
astronomía	iluikatlatilistli
planetario	iluikatlayokan
cosmíco	iluikayotl
día	iluitl
fiesta	iluitsintli
festividad	iluiyotl
tener	imakasi
época	imaniatl
pendejos	imaxtli
pierna	imetstli
martir	imikistlaneltiliani
luego	immanon
oportunidad	immanyotl
sobrar	imokaua
el	in
atender	ina
atendido	inali
apropiado	inamik
atento	inani
cercano	inauak
india	india
indio	indiatl
indonesia	indonesia
indonersio	indonesiatl
indio	indotl
indio	indotlakatl
hinduismo	indoyotl
aroma	inekistli
artículo	inik
estos	inimeke
esta	inin
esa	inon
por	ipampa
en	ipan
general	ipanokayotl
costar	ipati
hipopótamo	ipopotamotl
irak	irakia
iraquí	irakiatl
iraquí	irakitekatl
irán	irania
iraní	iraniatl
iraní	iranitekatl
irlandés	irlandatl
irlanda	irlandia
irlandés	irlantekatl
despertar	isa
solo	isel
solitario	isetlakatl
temprano	isik
despertar	isitia
derpertar	isitistli
rápido	isiukak
veloz	isiukak
ligero	isiukayo
diligencia	isiukayotl
surgimiento	iskali
islandés	islandatl
islandia	islandia
islandés	islantekatl
blanco	istak
salero	istakaxitl
blancura	istakayotl
baba	istaktli
descolorido	istaleuak
losa	istapali
ixtapa	istapan
cocaína	istapisiuxitl
blanco	istatik
salmuera	istayotl
decolorar	isteleua
decolorado	isteleuatik
frío	istik
mentira	istlakatilistli
falsedad	istlakayotl
obsidiana	istli
despierto	istok
cuaderno	isuamoxtli
hoja	isuatl
itacate	itakatl
lonchera	itakaxitl
honor	itaukayotl
dentro	itech
jurar	itechtlajtoa
acreedor	itechtlaktok
joroba	itepotsotilistli
síndrome	itestlajtlakoli
barriga	itetl
interior	itik
señalar	ititi
panza	ititl
cuándo	itkin
algo	itla
masacre	itlakamiktilistli
generosidad	itlakayotl
dañado	itlakoli
daño	itlakoltilistli
italia	itlalia
italiano	itlaliatekatl
italiano	itlaliatl
conceder	itlani
ceder	itlania
concedido	itlanili
sudadera	itokalnetsuilistli
short	itokaltsatontli
costumbre	itoktli
asfixia	itomikistli
danzar	itotia
danza	itotilistli
hielo	itskatki
congelador	itskaxitl
esquite	itskitl
perro	itskuintli
perruno	itskuinyotl
ceja	itsonkuatoli
helado	itstik
obsidiana	itstli
bisturí	itsualistli
visible	ittoni
y	iuan
interesante	iuani
conjunción	iuanistli
desguanzado	iuatik
desguance	iuatilistli
de	iuik
de	iuikpa
natural	iukayo
naturaleza	iukayotl
bastante	ixachi
americanos	ixachitlakaj
sonrrojado	ixchichiliui
sonrojar	ixchichilka
actuar	ixeuayilia
actuación	ixeuayilistli
dramático	ixeuayo
teatro	ixeuayotl
atrever	ixeui
